Reason for Absence,Distance from Work,Service Time,Age,Percentage of Day Missed,Absenteeism Time in Hours
22,52,3,28,100.0%,8
22,11,14,37,100.0%,8
1,50,11,36,100.0%,8
1,50,11,36,100.0%,8
11,50,11,36,100.0%,8
14,25,16,41,100.0%,8
21,51,18,38,100.0%,8
11,29,13,33,100.0%,8
10,16,4,28,100.0%,8
18,36,13,33,100.0%,8
18,36,13,33,100.0%,8
18,51,18,38,100.0%,8
18,29,12,48,100.0%,8
18,29,12,48,100.0%,8
24,36,13,33,100.0%,8
28,29,12,48,100.0%,8
19,20,13,43,100.0%,8
22,50,11,36,100.0%,8
23,51,18,38,100.0%,8
14,31,12,40,100.0%,8
26,36,13,33,100.0%,8
13,51,18,38,100.0%,8
21,22,17,40,100.0%,8
22,29,13,33,100.0%,8
6,12,14,34,100.0%,8
21,22,17,40,100.0%,8
26,11,14,37,100.0%,8
26,50,11,36,100.0%,8
22,52,3,28,100.0%,8
22,52,3,28,100.0%,8
19,25,16,41,100.0%,8
18,12,14,34,100.0%,8
18,26,9,30,100.0%,8
18,36,13,33,100.0%,8
1,25,16,41,100.0%,8
11,51,18,38,100.0%,8
23,29,13,33,100.0%,8
22,36,13,33,100.0%,8
11,15,9,50,100.0%,8
1,15,9,50,100.0%,8
23,42,7,27,100.0%,8
18,16,4,28,100.0%,8
19,29,13,33,100.0%,8
19,50,11,36,100.0%,8
17,22,17,40,100.0%,8
22,31,12,40,100.0%,8
13,50,11,36,100.0%,8
13,26,9,30,100.0%,8
13,12,14,34,100.0%,8
6,36,13,33,100.0%,8
8,22,17,40,100.0%,8
14,5,14,39,100.0%,8
11,26,9,28,100.0%,8
11,26,9,28,100.0%,8
14,25,16,41,100.0%,8
28,25,14,47,100.0%,8
19,36,13,33,100.0%,8
19,49,11,36,100.0%,8
13,36,13,33,100.0%,8
18,51,18,38,100.0%,8
19,26,9,28,100.0%,8
22,52,3,28,100.0%,8
19,25,16,41,100.0%,8
22,52,3,28,100.0%,8
10,25,16,41,100.0%,8
11,51,18,38,100.0%,8
10,25,16,41,100.0%,8
13,13,18,50,100.0%,8
22,49,11,36,100.0%,8
1,13,18,50,100.0%,8
5,10,10,37,100.0%,8
26,16,4,28,100.0%,8
18,26,9,30,100.0%,8
1,16,4,28,100.0%,8
1,16,4,28,100.0%,8
22,52,3,28,100.0%,8
26,36,13,33,100.0%,8
26,51,18,38,100.0%,8
19,36,13,33,100.0%,8
19,36,13,33,100.0%,8
18,14,16,58,100.0%,8
11,11,8,33,100.0%,8
19,11,14,37,100.0%,8
8,52,3,28,100.0%,8
6,42,7,27,100.0%,8
11,51,18,38,100.0%,8
13,51,18,38,100.0%,8
26,20,13,43,100.0%,8
13,51,18,38,100.0%,8
24,36,13,33,100.0%,8
26,36,13,33,100.0%,8
22,36,13,33,100.0%,8
1,26,9,30,100.0%,8
22,17,12,31,100.0%,8
10,52,3,28,100.0%,8
11,10,10,37,100.0%,8
6,51,18,38,100.0%,8
1,49,11,36,100.0%,8
26,20,13,43,100.0%,8
13,25,16,41,100.0%,8
13,25,16,41,100.0%,8
10,50,11,36,100.0%,8
15,50,11,36,100.0%,8
4,25,16,41,100.0%,8
25,10,10,37,100.0%,8
13,20,13,43,100.0%,8
26,50,11,36,100.0%,8
19,36,13,33,100.0%,8
26,36,13,33,100.0%,8
3,31,12,40,100.0%,8
26,20,13,43,100.0%,8
10,51,18,38,100.0%,8
26,25,16,41,100.0%,8
22,29,13,33,100.0%,8
18,10,10,37,100.0%,8
22,11,14,37,100.0%,8
22,22,17,40,100.0%,8
22,49,11,36,100.0%,8
22,52,3,28,100.0%,8
21,11,14,37,100.0%,8
13,13,18,50,100.0%,8
28,51,18,38,100.0%,8
22,36,13,33,100.0%,8
19,50,11,36,100.0%,8
23,16,4,28,100.0%,8
28,51,18,38,100.0%,8
28,26,13,43,100.0%,8
10,17,12,31,100.0%,8
18,14,16,58,100.0%,8
13,16,4,28,100.0%,8
1,11,14,37,100.0%,8
26,20,13,43,100.0%,8
5,51,18,38,100.0%,8
13,11,14,37,100.0%,8
13,50,11,36,100.0%,8
7,11,8,33,100.0%,8
25,16,4,28,100.0%,8
26,10,10,37,100.0%,8
28,10,10,37,100.0%,8
15,26,13,43,100.0%,8
22,52,3,28,100.0%,8
22,36,13,33,100.0%,8
26,20,13,43,100.0%,8
26,36,13,33,100.0%,8
26,20,13,43,100.0%,8
25,22,17,40,100.0%,8
23,26,9,30,100.0%,8
23,17,12,31,100.0%,8
22,52,3,28,100.0%,8
26,25,16,41,100.0%,8
23,17,12,31,100.0%,8
26,17,12,31,100.0%,8
10,17,12,31,100.0%,8
10,17,12,31,100.0%,8
23,29,13,33,100.0%,8
6,16,8,32,100.0%,8
10,25,14,47,100.0%,8
9,10,10,37,100.0%,8
24,36,13,33,100.0%,8
1,16,8,32,100.0%,8
22,52,3,28,100.0%,8
23,10,10,37,100.0%,8
8,10,10,37,100.0%,8
26,17,12,31,100.0%,8
26,20,13,43,100.0%,8
18,51,1,31,100.0%,8
10,48,29,49,100.0%,8
18,12,14,34,100.0%,8
13,36,13,33,100.0%,8
13,51,18,38,100.0%,8
1,25,14,47,100.0%,8
7,26,9,28,100.0%,8
13,51,18,38,100.0%,8
19,52,3,28,100.0%,8
13,51,18,38,100.0%,8
7,26,9,28,100.0%,8
23,36,13,33,100.0%,8
23,15,24,46,100.0%,8
22,17,12,31,100.0%,8
13,26,9,28,100.0%,8
10,10,10,37,100.0%,8
19,52,3,28,100.0%,8
19,25,14,47,100.0%,8
13,29,13,33,100.0%,8
22,11,14,37,100.0%,8
19,26,9,28,100.0%,8
19,26,9,28,100.0%,8
22,11,14,37,100.0%,8
26,20,13,43,100.0%,8
14,15,15,41,100.0%,8
22,15,15,41,100.0%,8
10,16,8,32,100.0%,8
22,31,12,40,100.0%,8
10,22,17,40,100.0%,8
10,16,4,28,100.0%,8
7,52,3,28,100.0%,8
25,22,17,40,100.0%,8
10,12,14,34,100.0%,8
7,15,24,46,100.0%,8
26,10,10,37,100.0%,8
10,10,10,37,100.0%,8
22,49,11,36,100.0%,8
19,51,1,31,100.0%,8
22,51,1,31,100.0%,8
6,14,16,58,100.0%,8
22,52,3,28,100.0%,8
22,26,9,28,100.0%,8
14,36,13,33,100.0%,8
25,52,3,28,87.5%,7
23,31,12,40,62.5%,5
23,31,12,40,62.5%,5
1,26,9,30,62.5%,5
7,26,9,30,62.5%,5
23,26,9,28,62.5%,5
28,10,10,37,62.5%,5
25,12,14,34,62.5%,5
26,36,13,33,50.0%,4
7,5,14,39,50.0%,4
23,50,11,36,50.0%,4
23,51,18,38,50.0%,4
28,50,11,36,50.0%,4
28,27,6,29,50.0%,4
23,11,14,37,50.0%,4
11,50,12,32,50.0%,4
23,50,11,36,50.0%,4
23,10,10,37,50.0%,4
23,51,18,38,50.0%,4
23,31,12,40,50.0%,4
23,50,11,36,50.0%,4
28,50,11,36,50.0%,4
28,50,11,36,50.0%,4
28,50,11,36,50.0%,4
7,42,7,27,50.0%,4
23,31,12,40,50.0%,4
23,12,14,34,50.0%,4
26,10,10,37,50.0%,4
28,50,11,36,50.0%,4
23,36,13,33,50.0%,4
28,31,12,40,50.0%,4
28,50,11,36,50.0%,4
26,11,14,37,50.0%,4
28,31,12,40,50.0%,4
12,31,12,40,50.0%,4
28,50,11,36,50.0%,4
14,11,14,37,50.0%,4
23,12,14,34,50.0%,4
26,13,18,50,50.0%,4
28,50,11,36,50.0%,4
28,51,18,38,50.0%,4
26,16,4,28,50.0%,4
22,17,12,31,50.0%,4
26,25,14,47,50.0%,4
28,50,11,36,50.0%,4
28,51,18,38,50.0%,4
28,51,18,38,50.0%,4
23,26,9,28,50.0%,4
28,50,11,36,50.0%,4
28,51,18,38,50.0%,4
25,26,9,28,50.0%,4
26,50,11,36,50.0%,4
25,51,18,38,50.0%,4
28,25,16,41,50.0%,4
28,10,10,37,50.0%,4
28,31,12,40,50.0%,4
25,51,18,38,50.0%,4
23,11,14,37,50.0%,4
23,51,18,38,50.0%,4
23,26,9,28,50.0%,4
23,26,9,28,50.0%,4
14,25,14,47,50.0%,4
14,52,3,28,50.0%,4
10,51,18,38,50.0%,4
28,12,14,34,50.0%,4
26,20,13,43,50.0%,4
28,10,10,37,50.0%,4
11,11,14,37,50.0%,4
23,10,10,37,37.5%,3
23,51,18,38,37.5%,3
18,26,9,28,37.5%,3
23,51,18,38,37.5%,3
23,51,18,38,37.5%,3
23,51,18,38,37.5%,3
23,10,10,37,37.5%,3
23,51,18,38,37.5%,3
23,26,9,28,37.5%,3
23,10,10,37,37.5%,3
23,26,9,28,37.5%,3
28,50,11,36,37.5%,3
23,26,9,28,37.5%,3
13,26,9,28,37.5%,3
28,26,9,28,37.5%,3
23,31,12,40,37.5%,3
28,26,9,28,37.5%,3
28,50,11,36,37.5%,3
22,36,13,33,37.5%,3
25,26,9,28,37.5%,3
19,27,6,29,37.5%,3
14,25,14,47,37.5%,3
13,51,18,38,37.5%,3
14,25,14,47,37.5%,3
23,31,12,40,37.5%,3
7,11,14,37,37.5%,3
25,27,6,29,37.5%,3
19,27,6,29,37.5%,3
13,13,18,50,37.5%,3
23,51,18,38,37.5%,3
28,31,12,40,37.5%,3
28,31,12,40,37.5%,3
7,10,10,37,37.5%,3
28,50,11,36,37.5%,3
28,50,11,36,37.5%,3
11,10,10,37,37.5%,3
28,51,18,38,37.5%,3
12,26,9,28,37.5%,3
23,11,14,37,37.5%,3
28,51,18,38,37.5%,3
27,51,18,38,37.5%,3
22,36,13,33,37.5%,3
28,50,11,36,37.5%,3
23,51,18,38,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
14,13,18,50,37.5%,3
28,50,11,36,37.5%,3
23,26,9,30,37.5%,3
28,50,11,36,37.5%,3
8,22,17,40,37.5%,3
25,26,9,28,37.5%,3
23,26,9,30,37.5%,3
23,10,10,37,37.5%,3
28,51,18,38,37.5%,3
28,25,16,41,37.5%,3
28,50,11,36,37.5%,3
28,10,10,37,37.5%,3
11,16,8,32,37.5%,3
14,48,29,49,37.5%,3
23,17,12,31,37.5%,3
28,51,18,38,37.5%,3
10,26,9,28,37.5%,3
13,26,9,28,37.5%,3
28,10,10,37,37.5%,3
14,26,9,28,37.5%,3
23,26,9,28,37.5%,3
23,26,9,28,37.5%,3
23,26,9,28,37.5%,3
23,26,9,28,37.5%,3
13,26,9,30,37.5%,3
18,22,17,40,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
23,26,9,28,37.5%,3
28,26,9,28,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
25,26,9,28,37.5%,3
27,51,18,38,37.5%,3
12,51,1,31,37.5%,3
25,16,8,32,37.5%,3
25,14,16,58,37.5%,3
25,25,14,47,37.5%,3
27,51,18,38,37.5%,3
27,26,9,30,37.5%,3
25,16,8,32,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
23,25,14,47,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
23,13,18,50,37.5%,3
16,16,8,32,37.5%,3
19,15,15,41,37.5%,3
8,10,10,37,37.5%,3
5,13,18,50,37.5%,3
6,26,9,28,37.5%,3
27,26,9,30,37.5%,3
19,13,18,50,37.5%,3
13,26,9,30,37.5%,3
25,10,10,37,37.5%,3
10,10,10,37,37.5%,3
22,51,1,31,37.5%,3
23,51,18,38,25.0%,2
23,36,13,33,25.0%,2
23,51,18,38,25.0%,2
23,51,18,38,25.0%,2
23,25,14,47,25.0%,2
23,51,18,38,25.0%,2
23,51,18,38,25.0%,2
23,42,7,27,25.0%,2
23,12,14,34,25.0%,2
23,26,9,28,25.0%,2
23,10,10,37,25.0%,2
23,26,9,28,25.0%,2
23,25,14,47,25.0%,2
28,26,9,28,25.0%,2
23,13,18,50,25.0%,2
23,26,9,28,25.0%,2
23,26,9,28,25.0%,2
27,10,10,37,25.0%,2
23,26,9,28,25.0%,2
27,26,9,28,25.0%,2
23,42,7,27,25.0%,2
28,26,9,28,25.0%,2
27,10,10,37,25.0%,2
27,26,9,28,25.0%,2
27,10,10,37,25.0%,2
27,10,10,37,25.0%,2
27,10,10,37,25.0%,2
27,10,10,37,25.0%,2
27,10,10,37,25.0%,2
27,10,10,37,25.0%,2
27,10,10,37,25.0%,2
23,42,7,27,25.0%,2
27,10,10,37,25.0%,2
28,12,14,34,25.0%,2
28,50,11,36,25.0%,2
28,26,9,28,25.0%,2
23,26,9,28,25.0%,2
28,50,12,32,25.0%,2
23,26,9,28,25.0%,2
28,26,9,28,25.0%,2
28,26,9,28,25.0%,2
28,12,14,34,25.0%,2
28,12,14,34,25.0%,2
11,51,18,38,25.0%,2
28,48,29,49,25.0%,2
28,26,9,28,25.0%,2
25,12,14,34,25.0%,2
14,26,13,43,25.0%,2
25,25,14,47,25.0%,2
23,20,13,43,25.0%,2
23,20,13,43,25.0%,2
23,25,14,47,25.0%,2
25,11,14,37,25.0%,2
28,51,18,38,25.0%,2
25,11,14,37,25.0%,2
28,27,6,29,25.0%,2
23,12,14,34,25.0%,2
28,10,10,37,25.0%,2
27,51,18,38,25.0%,2
23,25,16,41,25.0%,2
23,31,12,40,25.0%,2
28,25,16,41,25.0%,2
28,51,18,38,25.0%,2
23,13,18,50,25.0%,2
28,25,16,41,25.0%,2
11,10,10,37,25.0%,2
23,25,14,47,25.0%,2
11,22,17,40,25.0%,2
25,26,9,30,25.0%,2
28,10,10,37,25.0%,2
28,51,18,38,25.0%,2
23,26,9,28,25.0%,2
23,13,18,50,25.0%,2
21,26,9,30,25.0%,2
28,25,16,41,25.0%,2
23,26,9,30,25.0%,2
28,25,16,41,25.0%,2
28,25,16,41,25.0%,2
23,5,14,39,25.0%,2
28,31,12,40,25.0%,2
23,12,14,34,25.0%,2
28,31,12,40,25.0%,2
23,26,9,30,25.0%,2
28,31,12,40,25.0%,2
23,10,10,37,25.0%,2
23,48,29,49,25.0%,2
23,26,9,28,25.0%,2
28,31,12,40,25.0%,2
13,10,10,37,25.0%,2
23,26,9,28,25.0%,2
23,26,9,28,25.0%,2
28,52,3,28,25.0%,2
18,22,17,40,25.0%,2
23,26,9,28,25.0%,2
23,26,9,28,25.0%,2
25,22,17,40,25.0%,2
25,22,17,40,25.0%,2
25,22,17,40,25.0%,2
27,26,9,30,25.0%,2
27,26,9,30,25.0%,2
27,51,18,38,25.0%,2
27,51,18,38,25.0%,2
27,51,18,38,25.0%,2
27,26,9,30,25.0%,2
28,15,15,41,25.0%,2
27,51,18,38,25.0%,2
19,51,1,31,25.0%,2
27,51,18,38,25.0%,2
13,26,9,30,25.0%,2
23,22,17,40,25.0%,2
27,26,9,30,25.0%,2
27,51,18,38,25.0%,2
27,51,18,38,25.0%,2
27,51,18,38,25.0%,2
7,26,9,28,25.0%,2
27,51,18,38,25.0%,2
23,25,14,47,25.0%,2
25,26,9,28,25.0%,2
27,51,18,38,25.0%,2
27,51,18,38,25.0%,2
25,16,8,32,25.0%,2
27,51,18,38,25.0%,2
23,25,14,47,25.0%,2
27,51,18,38,25.0%,2
27,26,9,28,25.0%,2
25,26,9,28,25.0%,2
27,51,18,38,25.0%,2
27,26,9,30,25.0%,2
13,25,14,47,25.0%,2
27,51,18,38,25.0%,2
25,14,16,58,25.0%,2
27,51,18,38,25.0%,2
23,26,9,30,25.0%,2
13,26,9,30,25.0%,2
27,26,9,30,25.0%,2
16,22,17,40,25.0%,2
23,52,3,28,25.0%,2
10,10,10,37,25.0%,2
27,26,9,30,25.0%,2
27,26,9,30,25.0%,2
14,13,18,50,25.0%,2
27,26,9,30,25.0%,2
28,16,8,32,25.0%,2
28,31,12,40,25.0%,2
27,26,9,30,25.0%,2
23,13,18,50,25.0%,2
27,26,9,30,25.0%,2
23,16,8,32,25.0%,2
28,31,12,40,25.0%,2
27,26,9,30,25.0%,2
23,12,14,34,25.0%,2
27,26,9,30,25.0%,2
13,26,9,30,25.0%,2
28,31,12,40,25.0%,2
8,10,10,37,25.0%,2
19,51,1,31,25.0%,2
23,10,10,37,25.0%,2
11,51,18,38,12.5%,1
11,51,18,38,12.5%,1
23,36,13,33,12.5%,1
23,52,3,28,12.5%,1
23,25,14,47,12.5%,1
23,26,9,30,12.5%,1
23,52,3,28,12.5%,1
23,51,18,38,12.5%,1
23,26,9,28,12.5%,1
23,26,9,28,12.5%,1
28,25,14,47,12.5%,1
23,25,14,47,12.5%,1
23,26,9,28,12.5%,1
19,10,10,37,12.5%,1
27,10,10,37,12.5%,1
27,26,9,28,12.5%,1
23,26,9,28,12.5%,1
23,42,7,27,12.5%,1
23,26,9,30,12.5%,1
23,16,4,28,12.5%,1
23,26,9,28,12.5%,1
23,26,9,28,12.5%,1
13,26,9,30,12.5%,1
28,26,9,28,12.5%,1
28,31,12,40,12.5%,1
23,26,9,28,12.5%,1
28,12,14,34,12.5%,1
23,12,14,34,12.5%,1
23,13,18,50,12.5%,1
28,31,12,40,12.5%,1
28,12,14,34,12.5%,1
12,51,18,38,12.5%,1
11,51,18,38,12.5%,1
23,13,18,50,12.5%,1
23,36,13,33,12.5%,1
13,26,13,43,12.5%,1
23,25,14,47,12.5%,1
23,26,9,30,12.5%,1
23,11,14,37,12.5%,1
23,13,18,50,12.5%,1
23,51,18,38,12.5%,1
28,13,18,50,12.5%,1
28,51,18,38,12.5%,1
28,13,18,50,12.5%,1
28,13,18,50,12.5%,1
23,13,18,50,12.5%,1
23,31,12,40,12.5%,1
18,11,14,37,12.5%,1
28,51,18,38,12.5%,1
23,51,18,38,12.5%,1
28,51,18,38,12.5%,1
28,13,18,50,12.5%,1
28,51,18,38,12.5%,1
28,51,18,38,12.5%,1
23,26,9,30,12.5%,1
28,51,18,38,12.5%,1
13,11,14,37,12.5%,1
28,51,18,38,12.5%,1
28,51,18,38,12.5%,1
7,26,9,28,12.5%,1
23,13,18,50,12.5%,1
23,52,3,28,12.5%,1
28,10,10,37,12.5%,1
11,16,4,28,12.5%,1
23,29,12,48,12.5%,1
28,51,18,38,12.5%,1
23,13,18,50,12.5%,1
28,31,12,40,12.5%,1
25,22,17,40,12.5%,1
28,25,16,41,12.5%,1
28,25,16,41,12.5%,1
28,25,16,41,12.5%,1
23,25,14,47,12.5%,1
23,26,9,28,12.5%,1
4,48,29,49,12.5%,1
23,31,12,40,12.5%,1
1,14,16,58,12.5%,1
23,31,12,40,12.5%,1
13,26,9,28,12.5%,1
21,51,18,38,12.5%,1
28,51,18,38,12.5%,1
28,51,18,38,12.5%,1
28,31,12,40,12.5%,1
13,26,9,30,12.5%,1
13,26,9,30,12.5%,1
28,10,10,37,12.5%,1
16,22,17,40,12.5%,1
11,26,9,28,12.5%,1
0,13,18,50,0.0%,0
0,50,11,36,0.0%,0
0,26,9,28,0.0%,0
0,36,13,33,0.0%,0
0,13,18,50,0.0%,0
0,17,12,31,0.0%,0
0,13,18,50,0.0%,0
27,10,10,37,0.0%,0
0,29,12,48,0.0%,0
0,5,14,39,0.0%,0
0,16,4,28,0.0%,0
0,49,11,36,0.0%,0
0,15,9,50,0.0%,0
0,50,11,36,0.0%,0
0,20,13,43,0.0%,0
0,35,14,39,0.0%,0
0,50,12,32,0.0%,0
0,20,13,43,0.0%,0
0,13,18,50,0.0%,0
0,25,14,47,0.0%,0
0,20,13,43,0.0%,0
0,20,13,43,0.0%,0
0,50,11,36,0.0%,0
0,31,12,40,0.0%,0
0,27,6,29,0.0%,0
0,16,4,28,0.0%,0
0,49,11,36,0.0%,0
0,5,14,39,0.0%,0
0,17,12,31,0.0%,0
0,11,14,37,0.0%,0
0,25,16,41,0.0%,0
0,13,18,50,0.0%,0
0,51,18,38,0.0%,0
0,26,9,28,0.0%,0
0,31,12,40,0.0%,0
0,36,13,33,0.0%,0
0,20,13,43,0.0%,0
0,13,18,50,0.0%,0
0,49,11,36,0.0%,0
0,29,12,48,0.0%,0
0,11,8,33,0.0%,0
0,14,13,40,0.0%,0
0,35,14,39,0.0%,0
0,45,14,53,0.0%,0
